order,family,genus,species,Leaf_Area,Nmass,LMA,Plant_height,Diaspore_mass,SSD_observed,LDMC,SSD_imputed,SSD_combined
Lamiales,Lamiaceae,Monarda,Monarda fistulosa,847.75,13.25247314,50.39269273,0.926046012,0.35,NA,0.245561602,0.224544279,0.224544279
Lamiales,Lamiaceae,Monarda,Monarda punctata,491.08,13.2,53.7976971,0.453911181,0.2678,NA,0.214350661,0.208189746,0.208189746
Lamiales,Lamiaceae,Mosla,Mosla dianthera,NA,19.25,NA,NA,NA,NA,NA,NA,NA
Poales,Poaceae,Muhlenbergia,Muhlenbergia racemosa,545.82,31.02890104,28.23116418,0.91,0.28,NA,NA,NA,NA
Poales,Cyperaceae,Carex,Carex lativena,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lamiales,Lamiaceae,Nepeta,Nepeta cataria,390.5,NA,32.36245955,0.622293007,0.5532,NA,0.18,0.19019,0.19019
Myrtales,Onagraceae,Oenothera,Oenothera biennis,3048.9,19.17164775,58.32091689,0.936711488,0.3969,NA,0.199928183,0.200632368,0.200632368
Myrtales,Onagraceae,Oenothera,Oenothera parviflora,412.94,NA,55.63549457,0.845968,0.5373,NA,0.16881943,0.184331381,0.184331381
Myrtales,Onagraceae,Oenothera,Oenothera rhombipetala,NA,NA,NA,1.2,0.2732,NA,NA,NA,NA
Oxalidales,Oxalidaceae,Oxalis,Oxalis stricta,456.29,34.26794439,19.76834666,0.290048295,0.2053,NA,0.155248601,0.177220267,0.177220267
Poales,Poaceae,Panicum,Panicum capillare,3781.39,16.70146749,42.18530223,0.414699171,0.2685,NA,0.29420209,0.263941456,0.263941456
Poales,Poaceae,Dichanthelium,Dichanthelium acuminatum,175.99,17.30185211,41.0282884,0.454557576,0.3265,NA,0.44489015,0.397752454,0.397752454
Poales,Poaceae,Panicum,Panicum leibergii,NA,NA,NA,NA,2.34,NA,NA,NA,NA
Poales,Poaceae,Panicum,Panicum miliaceum,NA,NA,NA,0.695231496,4.6365,NA,NA,NA,NA
Poales,Poaceae,Dichanthelium,Dichanthelium oligosanthes,269.44,22.26415454,46.61794476,0.44,1.38,NA,NA,NA,NA
Poales,Poaceae,Panicum,Panicum perlongum,409.77,14.9180952,65.85552853,0.22,NA,NA,NA,NA,NA
Poales,Poaceae,Panicum,Panicum virgatum,880.64,12.42400252,71.48259417,0.58760891,1.0456,0.489895282,NA,NA,0.489895282
Rosales,Urticaceae,Parietaria,Parietaria pensylvanica,NA,13.36,32,0.430886938,0.2839,NA,NA,NA,NA
Vitales,Vitaceae,Parthenocissus,Parthenocissus inserta,13660.11,20.68816087,50.58598004,8.070660211,23.4504,NA,NA,NA,NA
Vitales,Vitaceae,Parthenocissus,Parthenocissus quinquefolia,6572.18,25.12270455,43.97565098,1.149453691,25.0481,NA,NA,NA,NA
Poales,Poaceae,Paspalum,Paspalum setaceum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lamiales,Orobanchaceae,Pedicularis,Pedicularis canadensis,NA,32.6,NA,0.39,0.8601,NA,NA,NA,NA
Lamiales,Plantaginaceae,Penstemon,Penstemon digitalis,NA,NA,NA,1.21,1.13,NA,NA,NA,NA
Lamiales,Plantaginaceae,Penstemon,Penstemon gracilis,NA,NA,NA,NA,0.06,NA,NA,NA,NA
Lamiales,Plantaginaceae,Penstemon,Penstemon grandiflorus,NA,21.1,95.23809524,NA,1.7866,NA,NA,NA,NA
Saxifragales,Penthoraceae,Penthorum,Penthorum sedoides,NA,40.82,34.95798319,0.79,0.0126,NA,NA,NA,NA
Fabales,Fabaceae,Petalostemon,Petalostemon candidus,NA,NA,NA,NA,1.38,NA,NA,NA,NA
Fabales,Fabaceae,Dalea,Dalea purpurea,18.69,24.3,83.85907353,0.535978022,1.8154,0.575032288,NA,NA,0.575032288
