"","Year","Plot","Treatment","Functional.group","Mass.g.m.2."
"602",2007,87,"Control","moss",0
"603",2007,88,"FoliarFungicide","C3",49.6
"604",2007,88,"FoliarFungicide","F",146.9
"605",2007,88,"FoliarFungicide","L",0
"606",2007,88,"FoliarFungicide","C4",0
"607",2007,88,"FoliarFungicide","W",0
"608",2007,88,"FoliarFungicide","moss_lichen",0
"609",2007,88,"FoliarFungicide","moss",0
"610",2007,89,"SoilDrenchFungicide","C3",15.4
"611",2007,89,"SoilDrenchFungicide","F",8.5
"612",2007,89,"SoilDrenchFungicide","L",0
"613",2007,89,"SoilDrenchFungicide","C4",0
"614",2007,89,"SoilDrenchFungicide","W",0
"615",2007,89,"SoilDrenchFungicide","moss_lichen",0
"616",2007,89,"SoilDrenchFungicide","moss",0
"617",2007,90,"AllPesticides","C3",16.1
"618",2007,90,"AllPesticides","F",18.4
"619",2007,90,"AllPesticides","L",0
"620",2007,90,"AllPesticides","C4",0
"621",2007,90,"AllPesticides","W",0
"622",2007,90,"AllPesticides","moss_lichen",0
"623",2007,90,"AllPesticides","moss",0
"624",2007,91,"Insecticide","C3",2.3
"625",2007,91,"Insecticide","F",0
"626",2007,91,"Insecticide","L",36.4
"627",2007,91,"Insecticide","C4",81.4
