"","Species_Diaz","Species","contrast","estimate","SE","df","t.ratio","p.value","exp","Functional.group","Treatment","Leaf_Area","Nmass","LMA","Plant_height","Diaspore_mass","LDMC"
"58","Dichanthelium oligosanthes","Panicum oligosanthes","Control - SoilDrenchFungicide",0.0584787559438627,0.256297249567498,35.0000000000026,-0.228167707778939,0.999907101702001,"Oldfield experiment","C3","SoilDrenchFungicide",269.44,22.26415454,46.61794476,0.44,1.38,NA
"59","Dichanthelium oligosanthes","Panicum oligosanthes","Control - Fenced",0.25077656071166,0.266762635090672,35.0000000000009,-0.940073787419371,0.933162375672993,"Oldfield experiment","C3","Fenced",269.44,22.26415454,46.61794476,0.44,1.38,NA
"60","Dichanthelium oligosanthes","Panicum oligosanthes","Control - Insecticide",0.0767138051536675,0.256297249567498,35.0000000000035,-0.299315756540978,0.999647531617568,"Oldfield experiment","C3","Insecticide",269.44,22.26415454,46.61794476,0.44,1.38,NA
"61","Dichanthelium oligosanthes","Panicum oligosanthes","Control - AllPesticides",-0.117805052142215,0.248158744813421,35.0000000000007,0.474716505480343,0.996750046905881,"Oldfield experiment","C3","AllPesticides",269.44,22.26415454,46.61794476,0.44,1.38,NA
"62","Digitaria cognata","Leptoloma cognatum",NA,NA,NA,NA,NA,NA,"Oldfield experiment","C4",NA,NA,12.94,52.63157892,NA,0.55,NA
"63","Echinacea serotina","Rudbeckia serotina","Control - SoilDrenchFungicide",0.0590877112539705,0.374671820085024,14.9999999999994,-0.157705245194479,0.999983117950105,"Oldfield experiment","F","SoilDrenchFungicide",949.19,21.4,71.42857143,NA,0.15,NA
"64","Echinacea serotina","Rudbeckia serotina","Control - Fenced",-0.0398599684458397,0.313472934933909,15,0.127156012541381,0.999994210134914,"Oldfield experiment","F","Fenced",949.19,21.4,71.42857143,NA,0.15,NA
"65","Echinacea serotina","Rudbeckia serotina","Control - Insecticide",0.370609460279979,0.313472934933909,14.9999999999999,-1.18226940503848,0.83842741772109,"Oldfield experiment","F","Insecticide",949.19,21.4,71.42857143,NA,0.15,NA
"66","Echinacea serotina","Rudbeckia serotina","Control - AllPesticides",0.798558278557089,0.335116663585476,14.9999999999998,-2.38292620251457,0.222789005665375,"Oldfield experiment","F","AllPesticides",949.19,21.4,71.42857143,NA,0.15,NA
"67","Echinacea serotina","Rudbeckia serotina","Control - FoliarFungicide",-0.0828968024778163,0.299737456068022,15.0000000000002,0.276564709547024,0.999730400024417,"Oldfield experiment","F","FoliarFungicide",949.19,21.4,71.42857143,NA,0.15,NA
"68","Erigeron canadensis","Erigeron canadensis",NA,NA,NA,NA,NA,NA,"Oldfield experiment","F",NA,290.83,26.57768565,52.83445519,0.374494241,0.0508,0.230916111
"69","Helianthemum bicknellii","Helianthemum bicknellii","Control - AllPesticides",0.935610260413524,0.406867925316161,12.0000000000005,-2.29954292830161,0.265574141131646,"Oldfield experiment","F","AllPesticides",75.88,16.69223424,67.93584436,NA,NA,NA
"70","Helianthemum bicknellii","Helianthemum bicknellii","Control - FoliarFungicide",-0.147233860377625,0.406867925316162,12.0000000000006,0.361871386797609,0.998959047753294,"Oldfield experiment","F","FoliarFungicide",75.88,16.69223424,67.93584436,NA,NA,NA
"71","Helianthemum bicknellii","Helianthemum bicknellii","Control - Fenced",-0.0275140650620067,0.363913735548497,12.0000000000005,0.0756060087167005,0.999999543264805,"Oldfield experiment","F","Fenced",75.88,16.69223424,67.93584436,NA,NA,NA
"72","Helianthemum bicknellii","Helianthemum bicknellii","Control - SoilDrenchFungicide",-0.0605861633368009,0.340410129190884,12.0000000000006,0.177979907592078,0.999967648248851,"Oldfield experiment","F","SoilDrenchFungicide",75.88,16.69223424,67.93584436,NA,NA,NA
"73","Helianthemum bicknellii","Helianthemum bicknellii","Control - Insecticide",0.389380441266932,0.340410129190884,12.0000000000008,-1.14385680059652,0.853988220356966,"Oldfield experiment","F","Insecticide",75.88,16.69223424,67.93584436,NA,NA,NA
"74","Hieracium longipilum","Hieracium longipilum","Control - Fenced",-0.304048170012123,0.176684497369041,21.000000000002,1.72085369423813,0.443295554893504,"Oldfield experiment","F","Fenced",NA,10.3,66,NA,0.31,NA
"75","Hieracium longipilum","Hieracium longipilum","Control - FoliarFungicide",-0.411721388719764,0.190593062120951,21.0000000000015,2.16021183634945,0.233040952943284,"Oldfield experiment","F","FoliarFungicide",NA,10.3,66,NA,0.31,NA
"76","Hieracium longipilum","Hieracium longipilum","Control - SoilDrenchFungicide",-0.264871945561436,0.190593062120951,21.0000000000016,1.38972501209591,0.640541113677672,"Oldfield experiment","F","SoilDrenchFungicide",NA,10.3,66,NA,0.31,NA
"77","Hieracium longipilum","Hieracium longipilum","Control - AllPesticides",-0.319108635670516,0.190593062120951,21.0000000000013,1.67429303102339,0.46990434369815,"Oldfield experiment","F","AllPesticides",NA,10.3,66,NA,0.31,NA
"78","Koeleria cristata","Koeleria cristata","Control - AllPesticides",0.314335059905296,0.254394942076408,68.9999999999893,-1.23561835522219,0.730699040570403,"Biodiversity experiment","C3","AllPesticides",NA,NA,NA,NA,NA,NA
"79","Koeleria cristata","Koeleria cristata","Control - FoliarFungicide",0.0142572649526054,0.266865802664998,68.9999999999883,-0.0534248480330874,0.999998103487202,"Biodiversity experiment","C3","FoliarFungicide",NA,NA,NA,NA,NA,NA
"80","Koeleria cristata","Koeleria cristata","Control - SoilDrenchFungicide",-0.0236006615597139,0.272123020821272,68.999999999989,0.0867279125760355,0.999986859319788,"Biodiversity experiment","C3","SoilDrenchFungicide",NA,NA,NA,NA,NA,NA
"81","Koeleria cristata","Koeleria cristata","Control - Insecticide",0.112596502697853,0.172084491173834,42.0000000000011,-0.65430941469392,0.985883347315328,"Oldfield experiment","C3","Insecticide",NA,NA,NA,NA,NA,NA
"82","Koeleria cristata","Koeleria cristata","Control - FoliarFungicide",0.554946060896322,0.172084491173834,42.0000000000008,-3.22484645252391,0.0275337167413229,"Oldfield experiment","C3","FoliarFungicide",NA,NA,NA,NA,NA,NA
"83","Koeleria cristata","Koeleria cristata","Control - SoilDrenchFungicide",0.029081158864745,0.172084491173834,42.0000000000008,-0.16899349073455,0.999979324816297,"Oldfield experiment","C3","SoilDrenchFungicide",NA,NA,NA,NA,NA,NA
"84","Koeleria cristata","Koeleria cristata","Control - AllPesticides",0.489023023043122,0.172084491173834,42.000000000001,-2.84176115876198,0.0701471437592238,"Oldfield experiment","C3","AllPesticides",NA,NA,NA,NA,NA,NA
"85","Koeleria cristata","Koeleria cristata","Control - Insecticide",0.294958942238879,0.262224304200979,68.9999999999915,-1.12483449288824,0.79289834937343,"Biodiversity experiment","C3","Insecticide",NA,NA,NA,NA,NA,NA
"86","Koeleria cristata","Koeleria cristata","Control - Fenced",-0.135982062744941,0.172084491173834,42.0000000000006,0.79020521731721,0.967684726653248,"Oldfield experiment","C3","Fenced",NA,NA,NA,NA,NA,NA
"87","Lathyrus venosus","Lathyrus venosus","Control - Insecticide",0.488310893671655,0.465565674077588,11.0000000000001,-1.04885501844424,0.891345005400065,"Oldfield experiment","L","Insecticide",1488.55,33.56725576,47.42724048,0.33,35.05,NA
"88","Lathyrus venosus","Lathyrus venosus","Control - AllPesticides",0.504889648735353,0.38952018922711,11,-1.29618351679578,0.781512846315454,"Oldfield experiment","L","AllPesticides",1488.55,33.56725576,47.42724048,0.33,35.05,NA
"89","Lathyrus venosus","Lathyrus venosus","Control - SoilDrenchFungicide",0.139648783529214,0.465565674077588,11,-0.299955068220818,0.999570587633933,"Oldfield experiment","L","SoilDrenchFungicide",1488.55,33.56725576,47.42724048,0.33,35.05,NA
"90","Lathyrus venosus","Lathyrus venosus","Control - FoliarFungicide",-0.00245252629652798,0.416414598091199,10.9999999999999,0.00588962612686996,0.999999999998744,"Oldfield experiment","L","FoliarFungicide",1488.55,33.56725576,47.42724048,0.33,35.05,NA
"91","Lathyrus venosus","Lathyrus venosus","Control - Fenced",0.152637491875953,0.416414598091202,11.0000000000002,-0.36655173131688,0.998870051093874,"Oldfield experiment","L","Fenced",1488.55,33.56725576,47.42724048,0.33,35.05,NA
"92","Lechea stricta","Lechea stricta",NA,NA,NA,NA,NA,NA,"Oldfield experiment","F",NA,NA,NA,NA,0.4,0.2,NA
"93","Lespedeza capitata","Lespedeza capitata","Control - FoliarFungicide",0.0800570486333871,0.19540537990488,84.9999999999856,-0.409697259473395,0.993977387357824,"Biodiversity experiment","L","FoliarFungicide",295.37,21.31478212,72.04352366,0.649699861,2.627,0.356563781
"94","Lespedeza capitata","Lespedeza capitata","Control - SoilDrenchFungicide",-0.0194296838955983,0.19540537990488,84.9999999999851,0.0994326968124232,0.999977441754834,"Biodiversity experiment","L","SoilDrenchFungicide",295.37,21.31478212,72.04352366,0.649699861,2.627,0.356563781
"95","Lespedeza capitata","Lespedeza capitata","Control - AllPesticides",-0.0653942656198195,0.19540537990488,84.9999999999875,0.334659494286453,0.997245451958472,"Biodiversity experiment","L","AllPesticides",295.37,21.31478212,72.04352366,0.649699861,2.627,0.356563781
"96","Lespedeza capitata","Lespedeza capitata","Control - AllPesticides",0.251710240712424,0.151261124089032,41.9999999999991,-1.66407754952467,0.562289325422033,"Oldfield experiment","L","AllPesticides",295.37,21.31478212,72.04352366,0.649699861,2.627,0.356563781
"97","Lespedeza capitata","Lespedeza capitata","Control - FoliarFungicide",0.418406355446982,0.151261124089032,41.999999999999,-2.7661195694983,0.083340719440728,"Oldfield experiment","L","FoliarFungicide",295.37,21.31478212,72.04352366,0.649699861,2.627,0.356563781
"98","Lespedeza capitata","Lespedeza capitata","Control - SoilDrenchFungicide",0.271469111223243,0.151261124089031,41.9999999999986,-1.79470510257122,0.480000776210327,"Oldfield experiment","L","SoilDrenchFungicide",295.37,21.31478212,72.04352366,0.649699861,2.627,0.356563781
"99","Lespedeza capitata","Lespedeza capitata","Control - Insecticide",-0.11935994034362,0.19540537990488,84.9999999999856,0.610832416188963,0.973015903049449,"Biodiversity experiment","L","Insecticide",295.37,21.31478212,72.04352366,0.649699861,2.627,0.356563781
"100","Lespedeza capitata","Lespedeza capitata","Control - Fenced",0.14573637658883,0.151261124089032,41.9999999999993,-0.963475430098288,0.926823475887766,"Oldfield experiment","L","Fenced",295.37,21.31478212,72.04352366,0.649699861,2.627,0.356563781
"101","Lespedeza capitata","Lespedeza capitata","Control - Insecticide",0.248319953369283,0.151261124089032,41.9999999999991,-1.64166407505423,0.57657300111555,"Oldfield experiment","L","Insecticide",295.37,21.31478212,72.04352366,0.649699861,2.627,0.356563781
"102","Liatris aspera","Liatris aspera","Control - FoliarFungicide",0.061925557611132,0.183351020369279,82.9999999999968,-0.33774318510151,0.997143965103021,"Biodiversity experiment","F","FoliarFungicide",263.36,12.00447878,72.81423431,1.2,1.7699,0.211166605
"103","Liatris aspera","Liatris aspera","Control - SoilDrenchFungicide",0.0187810804810293,0.189144079852428,82.9999999999977,-0.0992951008336208,0.99997755375153,"Biodiversity experiment","F","SoilDrenchFungicide",263.36,12.00447878,72.81423431,1.2,1.7699,0.211166605
"104","Liatris aspera","Liatris aspera","Control - FoliarFungicide",-0.0335767701028861,0.147540053642642,38.9999999999939,0.227577320692947,0.999909179378155,"Oldfield experiment","F","FoliarFungicide",263.36,12.00447878,72.81423431,1.2,1.7699,0.211166605
"105","Liatris aspera","Liatris aspera","Control - SoilDrenchFungicide",-0.0011536925624096,0.152378712175067,38.9999999999942,0.00757121874795826,0.999999999996223,"Oldfield experiment","F","SoilDrenchFungicide",263.36,12.00447878,72.81423431,1.2,1.7699,0.211166605
"106","Liatris aspera","Liatris aspera","Control - AllPesticides",-0.130367259552158,0.152378712175067,38.9999999999928,0.855547718518453,0.954673494806074,"Oldfield experiment","F","AllPesticides",263.36,12.00447878,72.81423431,1.2,1.7699,0.211166605
"107","Liatris aspera","Liatris aspera","Control - Fenced",-0.0280417926903787,0.147540053642642,38.9999999999945,0.190062237325052,0.999962738270199,"Oldfield experiment","F","Fenced",263.36,12.00447878,72.81423431,1.2,1.7699,0.211166605
"108","Liatris aspera","Liatris aspera","Control - Insecticide",0.0344910910792134,0.147540053642642,38.9999999999944,-0.233774424148947,0.999896306662673,"Oldfield experiment","F","Insecticide",263.36,12.00447878,72.81423431,1.2,1.7699,0.211166605
"109","Liatris aspera","Liatris aspera","Control - Insecticide",-0.00296135211912143,0.183351020369279,82.9999999999968,0.0161512715509142,0.999999984213077,"Biodiversity experiment","F","Insecticide",263.36,12.00447878,72.81423431,1.2,1.7699,0.211166605
"110","Liatris aspera","Liatris aspera","Control - AllPesticides",-0.0129115642097213,0.18609963074526,82.9999999999963,0.0693798486220275,0.9999946366379,"Biodiversity experiment","F","AllPesticides",263.36,12.00447878,72.81423431,1.2,1.7699,0.211166605
"111","Lithospermum canescens","Lithospermum canescens","Control - Insecticide",0.13482907583743,0.161185232253022,30.0000000000014,-0.836485290574148,0.958152938611169,"Oldfield experiment","F","Insecticide",296.88,15.03855533,72.17986474,0.5,2.81,NA
