"","Year","Plot","Subplot","Treatment","FertTrt","Species","Mass.g.m.2."
"170",2009,17,"na","SoilDrenchFungicide","n","Forbes",44.1
"171",2009,17,"na","SoilDrenchFungicide","n","Legumes",5.9
"172",2009,17,"na","SoilDrenchFungicide","n","Miscellaneous litter",111.85
"173",2009,17,"na","SoilDrenchFungicide","n","Sedges",2
"174",2009,18,"na","Fenced","n","C3 grasses",31.8
"175",2009,18,"na","Fenced","n","C4 grasses",58.1
"176",2009,18,"na","Fenced","n","Forbes",5.35
"177",2009,18,"na","Fenced","n","Legumes",10.45
"178",2009,18,"na","Fenced","n","Miscellaneous litter",173.4
"179",2009,18,"na","Fenced","n","Sedges",4.65
"180",2009,19,"na","Insecticide","n","C3 grasses",40.4
"181",2009,19,"na","Insecticide","n","C4 grasses",37.45
"182",2009,19,"na","Insecticide","n","Forbes",6.7
"183",2009,19,"na","Insecticide","n","Legumes",10.35
"184",2009,19,"na","Insecticide","n","Miscellaneous litter",150.4
"185",2009,19,"na","Insecticide","n","Sedges",3.3
"186",2009,20,"na","SoilDrenchFungicide","n","C3 grasses",38.35
"187",2009,20,"na","SoilDrenchFungicide","n","C4 grasses",61.95
"188",2009,20,"na","SoilDrenchFungicide","n","Forbes",11.65
"189",2009,20,"na","SoilDrenchFungicide","n","Legumes",3.75
"190",2009,20,"na","SoilDrenchFungicide","n","Miscellaneous litter",147.75
"191",2009,20,"na","SoilDrenchFungicide","n","Sedges",4.4
"192",2009,21,"na","Fenced","n","C3 grasses",45.25
"193",2009,21,"na","Fenced","n","C4 grasses",29.7
"194",2009,21,"na","Fenced","n","Forbes",5.6
"195",2009,21,"na","Fenced","n","Miscellaneous litter",126.5
"196",2009,21,"na","Fenced","n","Sedges",3.15
"197",2009,22,"na","FoliarFungicide","n","C3 grasses",39.15
"198",2009,22,"na","FoliarFungicide","n","C4 grasses",28.9
"199",2009,22,"na","FoliarFungicide","n","Forbes",30.3
"200",2009,22,"na","FoliarFungicide","n","Legumes",7.25
"201",2009,22,"na","FoliarFungicide","n","Miscellaneous litter",65.45
"202",2009,22,"na","FoliarFungicide","n","Sedges",3.3
"203",2009,23,"na","AllPesticides","n","C3 grasses",64.95
"204",2009,23,"na","AllPesticides","n","C4 grasses",57.95
"205",2009,23,"na","AllPesticides","n","Forbes",78.25
"206",2009,23,"na","AllPesticides","n","Legumes",0.65
"207",2009,23,"na","AllPesticides","n","Miscellaneous litter",126.75
"208",2009,23,"na","AllPesticides","n","Mosses",0.25
"209",2009,23,"na","AllPesticides","n","Sedges",6.55
"210",2009,24,"na","Control","n","C3 grasses",46.8
"211",2009,24,"na","Control","n","C4 grasses",4.3
"212",2009,24,"na","Control","n","Forbes",10.45
"213",2009,24,"na","Control","n","Miscellaneous litter",41.95
"214",2009,24,"na","Control","n","Mosses",1.6
"215",2009,24,"na","Control","n","Sedges",0.15
"216",2009,25,"na","Fenced","n","C3 grasses",29.95
"217",2009,25,"na","Fenced","n","C4 grasses",84.4
"218",2009,25,"na","Fenced","n","Forbes",0.45
"219",2009,25,"na","Fenced","n","Legumes",5.7
"220",2009,25,"na","Fenced","n","Miscellaneous litter",128.3
"221",2009,25,"na","Fenced","n","Sedges",0.95
"222",2009,26,"na","FoliarFungicide","n","C3 grasses",58.65
"223",2009,26,"na","FoliarFungicide","n","C4 grasses",71.45
"224",2009,26,"na","FoliarFungicide","n","Forbes",1.55
"225",2009,26,"na","FoliarFungicide","n","Legumes",5.05
"226",2009,26,"na","FoliarFungicide","n","Miscellaneous litter",123.65
"227",2009,26,"na","FoliarFungicide","n","Sedges",3.05
"228",2009,27,"na","SoilDrenchFungicide","n","C3 grasses",18.45
"229",2009,27,"na","SoilDrenchFungicide","n","C4 grasses",36.8
"230",2009,27,"na","SoilDrenchFungicide","n","Forbes",0.75
"231",2009,27,"na","SoilDrenchFungicide","n","Legumes",14.1
"232",2009,27,"na","SoilDrenchFungicide","n","Miscellaneous litter",113.65
"233",2009,27,"na","SoilDrenchFungicide","n","Sedges",3
"234",2009,28,"na","AllPesticides","n","C3 grasses",36.8
"235",2009,28,"na","AllPesticides","n","C4 grasses",42.45
"236",2009,28,"na","AllPesticides","n","Forbes",23.2
"237",2009,28,"na","AllPesticides","n","Miscellaneous litter",105.7
"238",2009,28,"na","AllPesticides","n","Sedges",3.35
"239",2009,29,"na","Control","n","C3 grasses",32.95
"240",2009,29,"na","Control","n","C4 grasses",16.75
"241",2009,29,"na","Control","n","Forbes",59.7
"242",2009,29,"na","Control","n","Legumes",21.3
"243",2009,29,"na","Control","n","Miscellaneous litter",77.5
"244",2009,29,"na","Control","n","Sedges",2.7
"245",2009,30,"na","Insecticide","n","C3 grasses",18.2
"246",2009,30,"na","Insecticide","n","C4 grasses",33.85
"247",2009,30,"na","Insecticide","n","Forbes",37.2
"248",2009,30,"na","Insecticide","n","Legumes",8.3
"249",2009,30,"na","Insecticide","n","Miscellaneous litter",77.1
"250",2009,30,"na","Insecticide","n","Sedges",2.35
"251",2009,31,"na","SoilDrenchFungicide","n","C3 grasses",51.05
"252",2009,31,"na","SoilDrenchFungicide","n","C4 grasses",10.3
"253",2009,31,"na","SoilDrenchFungicide","n","Forbes",3.75
"254",2009,31,"na","SoilDrenchFungicide","n","Miscellaneous litter",113.05
"255",2009,31,"na","SoilDrenchFungicide","n","Sedges",2.85
"256",2009,32,"na","Control","n","C3 grasses",32.85
"257",2009,32,"na","Control","n","C4 grasses",39.5
"258",2009,32,"na","Control","n","Forbes",5.4
"259",2009,32,"na","Control","n","Miscellaneous litter",157.3
"260",2009,32,"na","Control","n","Mosses & lichens",0.3
"261",2009,32,"na","Control","n","Sedges",0.75
"262",2009,33,"na","Fenced","n","C3 grasses",14.5
"263",2009,33,"na","Fenced","n","C4 grasses",70.7
"264",2009,33,"na","Fenced","n","Legumes",6.5
"265",2009,33,"na","Fenced","n","Miscellaneous litter",267.15
"266",2009,33,"na","Fenced","n","Mosses & lichens",5.8
"267",2009,33,"na","Fenced","n","Sedges",1.9
"268",2009,34,"na","AllPesticides","n","C3 grasses",61.75
"269",2009,34,"na","AllPesticides","n","C4 grasses",51.85
"270",2009,34,"na","AllPesticides","n","Forbes",9.65
"271",2009,34,"na","AllPesticides","n","Miscellaneous litter",127.4
"272",2009,34,"na","AllPesticides","n","Sedges",3.35
"273",2009,35,"na","Insecticide","n","C3 grasses",25.4
"274",2009,35,"na","Insecticide","n","C4 grasses",57.45
"275",2009,35,"na","Insecticide","n","Legumes",9.35
"276",2009,35,"na","Insecticide","n","Miscellaneous litter",72.8
"277",2009,35,"na","Insecticide","n","Sedges",3.25
"278",2009,36,"na","FoliarFungicide","n","C3 grasses",34.05
"279",2009,36,"na","FoliarFungicide","n","C4 grasses",71.4
"280",2009,36,"na","FoliarFungicide","n","Forbes",2.3
"281",2009,36,"na","FoliarFungicide","n","Legumes",73.6
"282",2009,36,"na","FoliarFungicide","n","Miscellaneous litter",188.7
"283",2009,36,"na","FoliarFungicide","n","Sedges",0.75
"284",2009,37,"na","Control","n","C3 grasses",22.4
"285",2009,37,"na","Control","n","C4 grasses",56.65
"286",2009,37,"na","Control","n","Forbes",4.15
"287",2009,37,"na","Control","n","Legumes",1.1
"288",2009,37,"na","Control","n","Miscellaneous litter",97
"289",2009,37,"na","Control","n","Sedges",2.75
"290",2009,38,"na","Fenced","n","C3 grasses",18.75
"291",2009,38,"na","Fenced","n","C4 grasses",69.3
"292",2009,38,"na","Fenced","n","Forbes",0.55
"293",2009,38,"na","Fenced","n","Legumes",0.05
"294",2009,38,"na","Fenced","n","Miscellaneous litter",118.6
"295",2009,38,"na","Fenced","n","Sedges",0.2
"296",2009,39,"na","FoliarFungicide","n","C3 grasses",17.35
"297",2009,39,"na","FoliarFungicide","n","C4 grasses",52.4
"298",2009,39,"na","FoliarFungicide","n","Forbes",2.1
"299",2009,39,"na","FoliarFungicide","n","Legumes",0.35
"300",2009,39,"na","FoliarFungicide","n","Miscellaneous litter",99.3
"301",2009,39,"na","FoliarFungicide","n","Sedges",3.5
"302",2009,40,"na","Insecticide","n","C3 grasses",23.15
"303",2009,40,"na","Insecticide","n","C4 grasses",54.8
"304",2009,40,"na","Insecticide","n","Legumes",24.25
"305",2009,40,"na","Insecticide","n","Miscellaneous litter",68.8
"306",2009,40,"na","Insecticide","n","Sedges",1.4
"307",2009,41,"na","AllPesticides","n","C3 grasses",35.65
"308",2009,41,"na","AllPesticides","n","C4 grasses",58.4
"309",2009,41,"na","AllPesticides","n","Forbes",1.45
"310",2009,41,"na","AllPesticides","n","Legumes",37.5
"311",2009,41,"na","AllPesticides","n","Miscellaneous litter",113.65
"312",2009,41,"na","AllPesticides","n","Sedges",3.45
"313",2009,42,"na","SoilDrenchFungicide","n","C3 grasses",21.55
"314",2009,42,"na","SoilDrenchFungicide","n","C4 grasses",85.4
"315",2009,42,"na","SoilDrenchFungicide","n","Forbes",17.1
"316",2009,42,"na","SoilDrenchFungicide","n","Legumes",9.85
"317",2009,42,"na","SoilDrenchFungicide","n","Miscellaneous litter",143.45
"318",2009,42,"na","SoilDrenchFungicide","n","Sedges",2.6
"319",2009,43,"na","Fenced","n","C3 grasses",23.1
"320",2009,43,"na","Fenced","n","C4 grasses",57.9
"321",2009,43,"na","Fenced","n","Forbes",21.75
"322",2009,43,"na","Fenced","n","Legumes",1.8
"323",2009,43,"na","Fenced","n","Miscellaneous litter",117.4
"324",2009,43,"na","Fenced","n","Sedges",2.2
"325",2009,44,"na","AllPesticides","n","C3 grasses",39.55
"326",2009,44,"na","AllPesticides","n","C4 grasses",55.1
"327",2009,44,"na","AllPesticides","n","Forbes",87.75
"328",2009,44,"na","AllPesticides","n","Legumes",6.3
"329",2009,44,"na","AllPesticides","n","Miscellaneous litter",133.4
"330",2009,44,"na","AllPesticides","n","Sedges",0.3
"331",2009,45,"na","Insecticide","n","C3 grasses",47.2
"332",2009,45,"na","Insecticide","n","C4 grasses",10.4
"333",2009,45,"na","Insecticide","n","Forbes",64.2
"334",2009,45,"na","Insecticide","n","Legumes",3.8
"335",2009,45,"na","Insecticide","n","Miscellaneous litter",76.8
